NAME,RAJ2000,DEJ2000,LON,LAT
4FGL J1752.8-4449,268.218,-44.8251,346.991,-9.3164
4FGL J1754.6-2933,268.663,-29.5518,0.482084,-2.00713
4FGL J1757.4-3125,269.354,-31.4187,359.164,-3.4585
4FGL J1758.7-4109,269.697,-41.1528,350.772,-8.48032
4FGL J1800.9-2407,270.235,-24.1333,5.8769,-0.511363
4FGL J1801.6-2326,270.424,-23.4345,6.56945,-0.315222
4FGL J1801.8-2358,270.454,-23.9827,6.1068,-0.610649
4FGL J1802.4-3041,270.615,-30.6992,0.325648,-4.04212
4FGL J1804.4-0852,271.118,-8.8694,19.6193,6.23668
4FGL J1805.1-3618,271.276,-36.306,355.662,-7.23737
4FGL J1808.4-3358,272.102,-33.9817,358.046,-6.72543
4FGL J1808.5-3701,272.127,-37.0306,355.343,-8.18095
4FGL J1809.2-2726,272.308,-27.4456,3.89662,-3.75726
4FGL J1812.8-3144,273.22,-31.7438,0.477776,-6.49767
4FGL J1814.7-3420,273.691,-34.3412,358.345,-8.05559
4FGL J1815.8-1416,273.971,-14.275,16.206,1.1939
4FGL J1817.2-3035,274.308,-30.5842,1.94753,-6.78087
4FGL J1817.9-3334,274.48,-33.5727,359.338,-8.28481
4FGL J1818.6-3206,274.669,-32.1096,0.725844,-7.75737
4FGL J1819.9-2926,274.99,-29.4391,3.24512,-6.77631
4FGL J1819.9-1530,274.99,-15.5028,15.5917,-0.255356
4FGL J1830.7-1634,277.676,-16.5701,15.8517,-3.03686
4FGL J1830.8-3132,277.703,-31.5364,2.41135,-9.80682
4FGL J1832.4-0847,278.101,-8.7935,22.9443,0.186169
4FGL J1834.7-0724c,278.683,-7.4131,24.4348,0.311594
4FGL J1836.8-2354,279.211,-23.9067,9.93614,-7.6438
4FGL J1840.4-1139,280.107,-11.651,21.3109,-2.87863
4FGL J1843.3-1242,280.84,-12.7131,20.6893,-3.9997
4FGL J1847.2-0141,281.811,-1.6924,30.9478,0.160726
4FGL J1851.5+0718,282.888,7.3111,39.4588,3.30153
4FGL J1852.6+0203,283.164,2.06,34.9041,0.668387
4FGL J1855.2+0456,283.816,4.9427,37.7671,1.40314
4FGL J1857.1+0056,284.299,0.946,34.4302,-0.849268
4FGL J1857.4+0106,284.358,1.1129,34.6058,-0.825856
4FGL J1858.0+0354,284.519,3.9128,37.1702,0.309663
4FGL J1900.4+0339,285.124,3.664,37.2249,-0.341167
4FGL J1900.7+0426,285.192,4.4415,37.9474,-0.0460612
4FGL J1901.1+0730,285.295,7.5048,40.7185,1.26411
4FGL J1901.8-0718,285.457,-7.3045,27.5894,-5.6226
4FGL J1902.2+0448,285.573,4.8081,38.4469,-0.215404
4FGL J1902.5+0654,285.644,6.9099,40.3479,0.684055
4FGL J1906.1+1651,286.541,16.8648,49.6153,4.45072
4FGL J1906.9+0712,286.747,7.2165,41.1228,-0.148156
4FGL J1908.7+0812,287.185,8.2044,42.1993,-0.0779885
4FGL J1910.2+0904c,287.553,9.0756,43.1405,0.000334736
