Group,Class label,Node,Physical classes,N assoc,PDF assoc,"PDF unas,unk,bcu,spp"
1,fsrq+,000,"fsrq, nlsy1, css",833,673.5,1124.3
2,bll+,001,"bll, sey, sbg, agn, ssrq, rdg",1565,584.4,854.1
3,psr+,010,"snr, hmb, nov, pwn, psr, gc",225,582.1,524.4
4,msp+,011,"msp, lmb, glc, gal, sfr, bin",244,471.1,1045.2
