,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF
4FGL J0000.3-7355,-11.760649,0.1099986284971237,0.03007555,307.708984375,-42.72953796386719,8.492646217346191,unas,0.8968252241500745,0.10317477584992556
4FGL J0000.5+0743,-11.714305,0.1096604317426681,-0.34923244,101.65647888183594,-53.029457092285156,5.68109655380249,unas,0.8374661728823618,0.16253382711763814
4FGL J0000.7+2530,-12.094175,0.2511221766471863,0.94868994,108.77507019042969,-35.95917510986328,4.197268009185791,unas,0.9710542217985778,0.028945778201422162
4FGL J0001.2+4741,-11.863557,0.0497964136302471,0.009480238,114.25019836425781,-14.338059425354004,5.5238728523254395,bcu,0.91946714248145,0.08053285751854997
4FGL J0001.2-0747,-11.107484,0.0378988645970821,0.014315605,89.03272247314453,-67.30500793457031,24.49721908569336,bll,0.8167964347173061,0.1832035652826939
4FGL J0001.5+2113,-10.6416855,0.1489015221595764,-1.2628086,107.64935302734375,-40.16765213012695,46.42582702636719,fsrq,0.8645955649358364,0.13540443506416355
4FGL J0001.6+3503,-11.873773,0.324240505695343,-0.06587529,111.53811645507812,-26.71026039123535,6.4750261306762695,unas,0.40391842728455096,0.596081572715449
4FGL J0001.6-4156,-11.486675,0.1209013909101486,1.188694,334.2263488769531,-72.02854919433594,17.982479095458984,bcu,0.9396103860120939,0.06038961398790607
4FGL J0001.8-2153,-12.047351,0.2635909914970398,0.8265331,55.184696197509766,-77.57254028320312,3.936025619506836,bcu,0.9750621344545602,0.02493786554543977
4FGL J0002.1-6728,-11.612266,0.1600688397884369,1.075479,310.0849304199219,-48.96346664428711,16.672523498535156,bll,0.9330099244070481,0.06699007559295189
4FGL J0002.1+6721c,-11.359204,0.244720458984375,-0.26913595,118.2034912109375,4.9394850730896,6.391002655029297,unk,0.19291539838070582,0.8070846016192941
4FGL J0002.3-0815,-11.851819,0.1124634817242622,0.16706228,89.04344940185547,-67.84832763671875,5.269459247589111,bcu,0.9200914303887168,0.07990856961128322
4FGL J0002.4-5156,-12.1445875,0.3182266354560852,0.864799,319.9994812011719,-63.53901672363281,5.810800552368164,bcu,0.9881948505835577,0.011805149416442253
4FGL J0002.7+7220,-11.474571,0.1047198176383972,-0.19214392,119.20875549316406,9.829275131225586,5.669114589691162,spp,0.8260421991327068,0.17395780086729323
4FGL J0002.8+6217,-10.726508,0.385295033454895,-0.061118126,117.3204116821289,-0.05103611573576927,35.79310607910156,psr,1.7335097290822256e-07,0.9999998266490271
4FGL J0003.1-5248,-11.464392,0.1216496080160141,1.3191848,318.9898986816406,-62.788944244384766,19.605445861816406,bcu,0.9318598619987696,0.06814013800123044
4FGL J0003.1-1543,-11.994628,0.1981576681137085,0.6617527,75.98789978027344,-74.0242691040039,4.7277631759643555,sey,0.9414322967969755,0.05856770320302443
4FGL J0003.2+2207,-11.802303,0.2926516234874725,0.63347816,108.43854522705078,-39.380794525146484,5.552208423614502,bll,0.967919810481308,0.032080189518692
4FGL J0003.3-0703,-12.036341,0.1113098412752151,1.443387,91.09471893310547,-66.91456604003906,4.739246368408203,bcu,0.9716179841492133,0.028382015850786695
4FGL J0003.3+2511,-11.743238,0.3331862092018127,-0.056204557,109.38163757324219,-36.41148376464844,8.633872985839844,unas,0.3534113381329973,0.6465886618670027
4FGL J0003.3-1928,-11.512458,0.2105951011180877,-0.112636566,65.19778442382812,-76.58098602294922,16.83622932434082,bcu,0.46682921391426574,0.5331707860857343
4FGL J0003.5+0717,-11.992119,0.2713103592395782,0.26706433,102.59378051757812,-53.67381286621094,5.473021507263184,bcu,0.7624021010616026,0.23759789893839736
4FGL J0003.6+3059,-11.701035,0.6376043558120728,0.27814007,111.00448608398438,-30.77199363708496,14.01501178741455,unas,0.00040489029823030274,0.9995951097017697
4FGL J0003.9-1149,-11.60375,0.1539551764726638,0.10076499,84.59542083740234,-71.07510375976562,13.4049711227417,bll,0.8455136803858686,0.1544863196141314
4FGL J0004.0+5715,-11.392638,0.1326620131731033,-0.6785896,116.52632141113281,-5.022866249084473,9.073501586914062,unas,0.8893125795633612,0.11068742043663886
4FGL J0004.0+0840,-11.954166,0.3033129572868347,0.6024239,103.49597930908203,-52.39784622192383,6.878326892852783,bll,0.9675921891529993,0.03240781084700071
4FGL J0004.3+4614,-11.272346,0.0990329086780548,-1.3882917,114.48896789550781,-15.85490894317627,11.245722770690918,fsrq,0.9620607943727547,0.03793920562724536
4FGL J0004.4-4737,-11.280494,0.0792935788631439,-1.0428461,323.9859924316406,-67.53782653808594,23.33867835998535,fsrq,0.9620360430871489,0.03796395691285106
4FGL J0004.4-4001,-11.601874,0.0453739427030086,-0.8218305,336.9914855957031,-73.8453369140625,11.000524520874023,unas,0.9176554915163422,0.0823445084836578
4FGL J0005.5+6634,-11.311577,0.4041112959384918,-0.44973612,118.38855743408203,4.110415935516357,4.591827869415283,unas,0.07138724670926255,0.9286127532907376
4FGL J0005.6+6746c,-11.378161,0.3197299838066101,-0.44603515,118.60843658447266,5.2821269035339355,4.460116863250732,unas,0.2603887947557449,0.7396112052442552
4FGL J0005.9+3824,-11.218785,0.1645498126745224,-1.0160067,113.2322769165039,-23.613338470458984,16.086971282958984,fsrq,0.9037094681331577,0.09629053186684246
4FGL J0006.3-1813,-11.975337,0.0381194576621055,-1.2524766,71.15022277832031,-76.31927490234375,4.287750244140625,unas,0.9544138317061586,0.04558616829384139
4FGL J0006.3-0620,-11.865531,0.1492447704076767,0.09479451,93.64701843261719,-66.62518310546875,5.414082050323486,bll,0.8560985688724998,0.14390143112750015
4FGL J0006.4+0135,-11.918308,0.2507266998291015,0.4243698,100.47744750976562,-59.297489166259766,7.125672817230225,bll,0.9168209358149408,0.08317906418505913
4FGL J0006.4-5621,-11.785978,0.05335333943367,-1.4323244,315.2886047363281,-59.67219543457031,7.211533069610596,bll,0.9730457514003766,0.026954248599623358
4FGL J0006.6+4618,-12.079822,0.3888331651687622,0.886775,114.92034912109375,-15.869718551635742,6.020187854766846,unas,0.9944605591920505,0.005539440807949446
4FGL J0007.4-0322,-12.154098,0.5159489512443542,0.97347426,97.16127014160156,-64.02510833740234,5.483517646789551,unas,0.9355085947446233,0.06449140525537661
4FGL J0007.5-5247,-11.932121,0.4040833115577698,-0.29121828,317.653076171875,-63.069732666015625,5.705449104309082,bcu,0.29505450247584675,0.7049454975241534
4FGL J0007.7+4008,-11.347249,0.0821471661329269,0.21392035,113.93701171875,-21.972776412963867,16.36504364013672,bcu,0.9296468957276612,0.07035310427233865
4FGL J0008.0+4711,-10.741665,0.0896416902542114,0.4023831,115.31625366210938,-15.03355884552002,56.519039154052734,bll,0.8434500824447403,0.15654991755525974
4FGL J0008.0-3937,-11.678779,0.1480666697025299,-1.1374263,335.9961853027344,-74.58332824707031,5.946190357208252,bcu,0.8958057309065683,0.10419426909343177
4FGL J0008.4+6926,-11.285022,0.0607140846550464,-0.9733577,119.14810943603516,6.88572883605957,8.511977195739746,unas,0.9548259271156223,0.045174072884377706
4FGL J0008.4-2339,-11.645934,0.1179886385798454,1.2214303,50.265140533447266,-79.69083404541016,11.074139595031738,bll,0.95848062326568,0.041519376734320046
4FGL J0008.4+6837,-10.815438,0.19312085211277,-0.31323028,119.0128402709961,6.077523708343506,26.440229415893555,bcu,0.17967045944640478,0.8203295405535952
4FGL J0008.4+1455,-11.370169,0.12586709856987,0.3954873,107.72406768798828,-46.676700592041016,19.20488166809082,bcu,0.9053085165017627,0.09469148349823724
4FGL J0008.9+2509,-11.706115,0.1431013196706771,-1.588366,110.91510772705078,-36.72459030151367,4.125722885131836,unas,0.8708526729233267,0.1291473270766734
4FGL J0009.1-5012,-11.56869,0.1381820440292358,-0.673759,319.3951110839844,-65.54535675048828,9.6563081741333,unas,0.8802129698140058,0.11978703018599425
4FGL J0009.1+0628,-11.229959,0.0381038151681423,-0.9762361,104.4807357788086,-54.8682975769043,18.23552131652832,bll,0.940836749349157,0.05916325065084301
4FGL J0009.2+1745,-11.570682,0.1802974641323089,-0.6921544,108.90927124023438,-43.96512985229492,7.263177394866943,unas,0.8279990077930816,0.17200099220691847
4FGL J0009.3+5030,-10.655836,0.0638071820139885,0.39703226,116.1243667602539,-11.803587913513184,64.89691925048828,bll,0.8781793124523778,0.12182068754762232
4FGL J0009.7-1418,-11.567178,0.0712960436940193,-1.4132613,83.70576477050781,-73.91203308105469,9.196324348449707,unas,0.9721503584713062,0.027849641528693868
4FGL J0009.7-3217,-11.627517,0.0368891172111034,-1.1983407,0.6727206707000732,-79.58927917480469,9.97800350189209,rdg,0.963497549576088,0.036502450423911974
