,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_RF_std,1_NN,1_NN_std,2_RF,2_RF_std,2_NN,2_NN_std,3_RF,3_RF_std,3_NN,3_NN_std,4_RF,4_RF_std,4_NN,4_NN_std,sample_weight
4FGL J0000.3-7355,-0.67853844,0.61165106,-0.7911276,-11.760649,-12.570003,0.92904305,1.9847648,0.1099986284971237,1.117560863494873,1.1083957,unas,0.04749462870380519,0.03021619888146655,0.10437155685697992,0.015434401180103951,0.948705121651278,0.03027667648423413,0.8616596994300684,0.020955450301892924,0.00027957593385999075,0.001443631131662191,0.014666877711230578,0.006146429894535721,0.0035206737110565936,0.006675162573548904,0.019301872234791517,0.006428564712041407,1.0
4FGL J0000.5+0743,-0.7989448,-0.20204343,0.97937655,-11.714305,-12.425956,0.75443214,2.1763642,0.1096604317426681,1.1942323446273804,1.4077135,unas,0.4919092930003813,0.10179134639036974,0.4591717018435399,0.045265994986240614,0.48037150451681354,0.09991332400929862,0.5013227630406618,0.04503333273333584,0.0014049366578370761,0.006398341728182029,0.012587667884266315,0.0056052633607842775,0.02631426582496797,0.024816725593539198,0.026917857855247956,0.0072727390772774755,1.0
4FGL J0000.7+2530,-0.5872086,-0.32185382,0.9467894,-12.094175,-12.607139,0.6229667,0.90287775,0.2511221766471863,1.6890816688537598,1.1189018,unas,0.02226372739671024,0.025862928925851635,0.02948014480837931,0.011631311031110165,0.9568177533017256,0.03763903150240296,0.941534319271644,0.019215170528708476,0.00043127956887058835,0.0028998300522697328,0.00805870845457927,0.004690121784867763,0.020487239732693934,0.020285596516457262,0.02092683091177605,0.00982666188460983,1.0
4FGL J0001.2+4741,-0.24764264,-0.41072205,0.9117606,-11.863557,-12.491841,0.74224365,1.997826,0.0497964136302471,0.3943623006343841,1.461132,bcu,0.08872355391228465,0.04341785824058058,0.17746036794657508,0.029402357928641393,0.9031501829036995,0.04541085542067825,0.8103870463867983,0.029641600706555412,5.838429352791432e-05,0.000264030037467329,0.006359194921969902,0.0028824343870009436,0.008067878890487745,0.01438248068941473,0.00579338693448032,0.0018351513452322889,1.0
4FGL J0001.2-0747,-0.9225718,0.016881336,0.9998575,-11.107484,-12.2884,1.3891168,1.9975016,0.0378988645970821,1.283200979232788,1.7138464,bll,0.014753622997293816,0.014126502629727783,0.032586192867408194,0.0059186099643344465,0.9851321947610211,0.014105566292276795,0.9577914973100027,0.013401288673685688,7.061422965530183e-05,0.00013565563270774288,0.00886051271421214,0.009880666138432624,4.3568012029882746e-05,9.345113052048995e-05,0.0007617860270935731,0.00035671845084455847,0.0025145964734931497
4FGL J0001.4-0010,-0.87028116,-0.11999807,0.9927741,-11.881935,-12.5083475,0.72029555,2.139592,-0.0102216955274343,0.0,0.97193396,bll,0.1479366749621214,0.07513846686752813,0.11844974756240845,0.02753083886931513,0.8446001943632497,0.07909692895949473,0.8449243853489558,0.03675219723916202,0.0017147754778071168,0.0057591992953845835,0.021520352844769757,0.00943812622391181,0.0057483551968218125,0.00881430923350657,0.015105520918344459,0.0070719483253254885,2.3588144454356033
4FGL J0001.5+2113,-0.6450264,-0.30319086,0.95292985,-10.6416855,-12.195808,1.6667596,2.8659291,0.1489015221595764,7.548740863800049,3.2698872,fsrq,0.9783430436510913,0.016850219819010897,0.9845063164830208,0.006012978766549062,0.0116357699082307,0.012286148102154955,0.01095738069852814,0.003944676478685951,0.0025,0.006831300510639732,0.0030005359585629776,0.0030009782371456253,0.007521186440677966,0.01436436094854612,0.0015357723441411508,0.0008497793208132742,1.922570899481741e-08
4FGL J0001.6+3503,-0.44947898,-0.36712012,0.9301736,-11.873773,-12.439392,0.8112415,2.0983636,0.324240505695343,2.4180264472961426,1.0491667,unas,0.16579192572323792,0.05308240443896097,0.2143901316449046,0.042081231166672124,0.570881500393347,0.09249782276468235,0.2089139043043057,0.04511792372212804,0.005974225427350428,0.011606370184203555,0.05360754383339857,0.02651713435560688,0.2573523484560648,0.08667661705747615,0.5230884241561095,0.06719522344145072,1.0
4FGL J0001.6-4156,-0.9512104,0.9005188,-0.43481708,-11.486675,-12.369896,1.2548496,1.3381692,0.1209013909101486,2.630329132080078,1.4084004,bcu,0.0094260842992173,0.013536851131772495,0.006888158934695336,0.0016169283546954183,0.9900555752433596,0.01361587296795517,0.983828271428744,0.0053111895158452225,2.1477723775674022e-05,5.493625985400312e-05,0.007134073071938474,0.004510217898177306,0.0004968627336475192,0.002880271952233521,0.0021494964178903806,0.0009203637201094776,1.0
4FGL J0001.8-2153,-0.97656924,0.5709329,0.8209967,-12.047351,-12.607781,0.5950579,0.996687,0.2635909914970398,0.958782434463501,1.429916,bcu,0.1758134250275022,0.06423121523660198,0.029305688998041052,0.012099024628856685,0.7722071394921003,0.07944162461405928,0.9635394550859928,0.014102352574339524,0.002929276363742383,0.007132505288460715,0.002379426025072462,0.0017074953238848543,0.04905015911665512,0.038114703268415186,0.004775436730900158,0.0022893976521061814,1.0
